airline,month,count(1)
AA,1,44059
AA,2,39835
AA,3,45966
AA,4,44770
AA,5,44710
AA,6,44360
AA,7,81434
AA,8,79748
AA,9,73379
AA,10,77290
AA,11,73871
AA,12,76562
AS,1,13257
AS,2,12194
AS,3,14276
AS,4,13974
AS,5,14682
AS,6,15075
AS,7,15821
AS,8,16095
AS,9,14271
AS,10,14467
AS,11,13950
AS,12,14459
B6,1,21623
B6,2,19751
B6,3,22590
B6,4,22020
B6,5,22565
B6,6,22558
B6,7,24029
B6,8,23826
B6,9,21133
B6,10,21913
B6,11,21697
B6,12,23343
DL,1,64421
DL,2,60884
DL,3,74166
DL,4,72170
DL,5,74815
DL,6,77255
DL,7,80741
DL,8,80947
DL,9,72063
DL,10,75552
DL,11,72228
DL,12,70639
EV,1,49925
EV,2,45138
EV,3,54190
EV,4,49296
EV,5,49213
EV,6,49119
EV,7,50381
EV,8,48554
EV,9,43721
EV,10,45728
EV,11,42572
EV,12,44140
F9,1,6829
F9,2,5809
F9,3,6950
F9,4,7148
F9,5,8118
F9,6,7893
F9,7,8090
F9,8,8142
F9,9,7873
F9,10,8101
F9,11,7763
F9,12,8120
HA,1,6440
HA,2,5779
HA,3,6313
HA,4,6093
HA,5,6434
HA,6,6677
HA,7,6955
HA,8,6901
HA,9,6154
HA,10,6242
HA,11,6024
HA,12,6260
MQ,1,29900
MQ,2,26940
MQ,3,28146
MQ,4,25695
MQ,5,25431
MQ,6,25407
MQ,7,24750
MQ,8,23881
MQ,9,21202
MQ,10,21982
MQ,11,20305
MQ,12,20993
NK,1,8743
NK,2,8089
NK,3,9400
NK,4,9496
NK,5,10051
NK,6,9826
NK,7,10351
NK,8,10432
NK,9,9948
NK,10,10208
NK,11,10164
NK,12,10671
OO,1,48114
OO,2,43989
OO,3,50078
OO,4,49329
OO,5,49864
OO,6,50307
OO,7,52627
OO,8,52730
OO,9,47625
OO,10,48808
OO,11,47292
OO,12,47590
UA,1,38395
UA,2,36235
UA,3,43603
UA,4,41342
UA,5,44411
UA,6,46084
UA,7,46478
UA,8,45413
UA,9,41778
UA,10,45894
UA,11,42647
UA,12,43443
US,1,33489
US,2,30153
US,3,34516
US,4,32496
US,5,33761
US,6,34300
VX,1,4731
VX,2,4223
VX,3,4873
VX,4,4915
VX,5,5236
VX,6,5260
VX,7,5411
VX,8,5688
VX,9,5154
VX,10,5464
VX,11,5414
VX,12,5534
WN,1,100042
WN,2,90172
WN,3,109245
WN,4,106407
WN,5,107702
WN,6,109776
WN,7,113650
WN,8,108179
WN,9,100645
WN,10,104516
WN,11,104045
WN,12,107476
